Age,Team,Home,Win,Game Started,Total RB,AST,PTS
28.71731691,CHI,0,1,1,3,6,44
28.72279261,CHI,1,1,1,7,5,26
28.72553046,CHI,1,1,1,5,9,27
28.73374401,CHI,1,1,1,3,4,20
28.73648186,CHI,0,1,1,6,5,35
28.74195756,CHI,1,1,1,7,11,17
28.75564682,CHI,0,1,1,9,7,35
28.76112252,CHI,0,1,1,6,4,31
28.76386037,CHI,0,1,1,6,3,37
28.77207392,CHI,0,1,1,10,5,23
28.78028747,CHI,0,1,1,8,7,40
28.78302533,CHI,0,1,1,6,8,30
28.79397673,CHI,1,1,1,9,9,16
28.79945243,CHI,1,1,1,11,10,19
28.80219028,CHI,0,0,1,14,9,32
28.81040383,CHI,1,1,1,11,1,19
28.81861739,CHI,1,1,1,8,6,27
28.82135524,CHI,0,1,1,9,1,29
28.82956879,CHI,1,0,1,4,7,21
28.83778234,CHI,0,1,1,5,4,24
28.84052019,CHI,1,1,1,9,10,37
28.85147159,CHI,1,1,1,8,5,14
28.85420945,CHI,0,1,1,3,6,34
28.85968515,CHI,1,1,1,2,8,33
28.86516085,CHI,0,1,1,6,7,29
28.87611225,CHI,0,0,1,6,7,44
28.8788501,CHI,1,1,1,5,1,27
28.88706366,CHI,1,1,1,5,9,21
28.88980151,CHI,0,1,1,6,8,40
28.89527721,CHI,1,1,1,5,4,37
28.89801506,CHI,1,1,1,6,7,30
28.90622861,CHI,1,1,1,5,4,26
28.91170431,CHI,0,1,1,4,8,35
28.91444216,CHI,1,1,1,4,8,31
28.91991786,CHI,0,1,1,6,6,34
28.92539357,CHI,1,1,1,5,7,30
28.92813142,CHI,0,1,1,6,4,23
28.93360712,CHI,1,1,1,2,5,20
28.93634497,CHI,1,1,1,3,5,35
28.94455852,CHI,0,0,1,9,7,39
28.95003422,CHI,0,0,1,5,5,22
28.95277207,CHI,0,1,1,10,9,25
28.95824778,CHI,0,1,1,8,11,33
28.96098563,CHI,0,0,1,13,8,34
28.98288843,CHI,1,1,1,6,7,34
28.98836413,CHI,0,1,1,2,5,17
28.99383984,CHI,1,1,1,5,2,29
29,CHI,1,0,1,4,6,46
29.0054757,CHI,0,1,1,10,8,27
29.0109514,CHI,0,1,1,10,14,33
29.01368925,CHI,1,1,1,6,8,30
29.02190281,CHI,0,0,1,4,6,23
29.02464066,CHI,1,1,1,4,1,26
29.03011636,CHI,0,1,1,6,6,24
29.03559206,CHI,1,1,1,9,7,31
29.04106776,CHI,1,0,1,7,5,27
29.04654346,CHI,0,1,1,5,5,33
29.04928131,CHI,1,1,1,6,2,27
29.05475702,CHI,0,1,1,11,8,34
29.06297057,CHI,1,1,1,13,3,32
29.07118412,CHI,0,1,1,10,9,26
29.07665982,CHI,0,1,1,9,13,37
29.07939767,CHI,0,1,1,10,4,40
29.08487337,CHI,0,1,1,11,3,51
29.09034908,CHI,1,0,1,15,4,25
29.09856263,CHI,1,1,1,6,6,50
29.10951403,CHI,1,1,1,4,6,44
29.11772758,CHI,0,1,1,4,3,36
29.12046543,CHI,1,1,1,2,5,31
29.12594114,CHI,1,1,1,6,7,15
29.13141684,CHI,0,0,1,2,2,26
29.13689254,CHI,1,1,1,5,7,30
29.14510609,CHI,0,1,1,4,6,35
29.14784394,CHI,1,1,1,5,8,23
29.15331964,CHI,1,1,1,1,7,12
29.16427105,CHI,0,1,1,4,8,21
29.16974675,CHI,1,1,1,2,7,32
29.72005476,CHI,0,1,1,6,2,29
29.72279261,CHI,1,0,1,4,11,35
29.72826831,CHI,1,1,1,2,12,24
29.73374401,CHI,1,1,1,10,4,37
29.73921971,CHI,0,1,1,6,4,34
29.74195756,CHI,1,1,1,4,7,18
29.75017112,CHI,0,1,1,3,5,32
29.75564682,CHI,0,1,1,6,2,35
29.75838467,CHI,0,0,1,13,7,54
29.76386037,CHI,0,1,1,3,7,40
29.76933607,CHI,0,1,1,5,7,49
29.78028747,CHI,0,0,1,6,4,17
29.79671458,CHI,1,1,1,13,2,38
29.79945243,CHI,1,1,1,3,5,24
29.80766598,CHI,0,0,1,12,8,32
29.81040383,CHI,1,1,1,11,10,28
29.81587953,CHI,1,0,1,11,4,26
29.81861739,CHI,1,1,1,6,3,38
29.82683094,CHI,1,1,1,4,6,25
29.83230664,CHI,0,1,1,7,8,28
29.83778234,CHI,1,0,1,10,10,23
29.84325804,CHI,1,1,1,8,3,18
29.84873374,CHI,1,1,1,2,10,57
29.85420945,CHI,1,1,1,8,5,42
29.8569473,CHI,0,1,1,9,8,17
29.86516085,CHI,0,1,1,12,11,28
29.8678987,CHI,0,1,1,6,8,39
29.87611225,CHI,1,1,1,8,5,39
29.8843258,CHI,1,0,1,4,5,36
29.88706366,CHI,0,0,1,8,3,23
29.89253936,CHI,1,1,1,8,7,35
29.89527721,CHI,0,0,1,11,6,30
29.90349076,CHI,0,1,1,8,4,23
29.91170431,CHI,1,1,1,12,10,26
29.91444216,CHI,1,0,1,6,1,64
29.91991786,CHI,1,1,1,8,3,29
29.92813142,CHI,0,1,1,3,4,30
29.93086927,CHI,1,0,1,6,2,28
29.93634497,CHI,0,0,1,11,3,42
